subject_heading,book_entry
ENGLISH,"1. Thomson AJ, Martinet AV. Practical english grammar. 3rd Ed. Oxford University Press;"
ENGLISH,"2. Kirszner LG, Mandell SR. Patterns of College Writing: A Rhetorical Reader and Guide."
ENGLISH,3. Maley A. Oxford supplementary skills: 1st Ed. Writing Intermediate. Cornelsen & Oxford
ENGLISH,4. Langan J. Reading and Study Skills. 9th Ed. McGraw Hill Humanities; 2009.
ENGLISH,5. Nolasco R. Speaking: Elementary: Oxford Supplementary Skills. 4th Ed. Oxford University
ENGLISH,"6. Tomlinson B, Ellis R. Reading Advanced. Oxford Supplementary Skills. 3rd Ed. Oxford"
ENGLISH,7. Langan J. College Writing Skills with Readings. 8th Ed. McGraw Hill; 2010.
ENGLISH,8. Gilbert MD. English for Pharmacy writing and oral communication. 1st Ed. Lippincott
ENGLISH,"9. Neulib J, Cain KS, Ruffus S, Scharton M. The Mercury Reader: A custom publication. 4th"
ENGLISH,10. White R. Advanced: Oxford Supplementary Skills. 3rd Ed. Oxford University Press; 1992.
ENGLISH,11. Wong L. Essential Study Skills. 7th Ed. Wadsworth Publishing; 2011.
PHYSICAL PHARMACY,"1. Allen LV, Popovich NG. Ansel's pharmaceutical dosage forms and drug delivery"
PHYSICAL PHARMACY,"2. Attwood D, Flocence AT. Surfactant Systems: Their Chemistry, Pharmacy and Biology. 1st"
PHYSICAL PHARMACY,3. Aulton ME. Aulton's pharmaceutics: the design and manufacture of medicines.
PHYSICAL PHARMACY,4. Britain MD. British national formulary. 54th Ed. British Medical Association; 2001.
PHYSICAL PHARMACY,5. Carstensen JT. Pharmaceutics of solids and solid dosage forms. 1st Ed. Wiley; 1977.
PHYSICAL PHARMACY,"6. Connors KA, Mecozzi S. Thermodynamics of pharmaceutical systems: An introduction to"
PHYSICAL PHARMACY,"7. Cooper JW, Gunn C, Carter SJ. Cooper and Gunn’s Tutorial Pharmacy. 6th Ed. New"
PHYSICAL PHARMACY,8. Davis H. Bentley’s Text Book of Pharmaceutics. 2nd Ed. Tindall and Cox Publishers;
PHYSICAL PHARMACY,9. Finlay WH. The mechanics of Inhaled pharmaceutical aerosols: An introduction. 1st Ed.
PHYSICAL PHARMACY,"10. Florence AT, Attwood D. Physicochemical Principles of Pharmacy. 5th Ed. Pharmaceutical"
PHYSICAL PHARMACY,"11. Florence AT, Siepmann J. Moderen Pharmaceutics: Basic Principles and Systems: (Drugs"
PHYSICAL PHARMACY,"12. Ganderton D, Jones T, McGinity J. Advances in Pharmaceutical Sciences. 1st Ed."
PHYSICAL PHARMACY,"13. Ghosh TK, Jasti BR. Theory and practice of contemporary pharmaceutics. 1st Ed. CRC"
PHYSICAL PHARMACY,"14. Kleemann A, Engel J, Kutscher B, Reichert D. Pharmaceutical substances: Syntheses,"
PHYSICAL PHARMACY,"15. Lewis GA, Mathieu D, Phan RTL. Pharmaceutical experimental design: (Drugs & the"
PHYSICAL PHARMACY,16. Lund W. The pharmaceutical Codex: Principles and practice of pharmaceutics. 16th Ed. Co
PHYSICAL PHARMACY,"17. Rienger M, Scott-Blair GW. Rheology. 3rd Ed. Academic Press; 1990."
PHYSICAL PHARMACY,"18. Rowe RC, Sheskey PJ, Quinn ME. Handbook of pharmaceutical excipients. 6th Ed."
PHYSICAL PHARMACY,"19. Sinko PJ, Martin AN. Martin's physical pharmacy and pharmaceutical sciences:"
PHYSICAL PHARMACY,20. Sinko PJ. Martin's Physical Pharmacy and Pharmaceutical Sciences. 6th Ed. Lippincott
PHYSICAL PHARMACY,"21. Winfield AJ, Richards RME. Pharmaceutical practice. Elsevier Health Sciences; 2004."
PHYSICAL PHARMACY,22. Zinc G. Remington: The Science and Practice of Pharmacy. Philadelphia College of
PHARMACEUTICAL CHEMISTRY (ORGANIC),1. Bansel RK. Organic Reaction Mechanism. 3rd Ed. Tata McGraw Hill; 1992.
PHARMACEUTICAL CHEMISTRY (ORGANIC),2. Bhal BS. Textbook of Organic Chemistry. 16th Ed. S. Chand & Co; 2007.
PHARMACEUTICAL CHEMISTRY (ORGANIC),"3. Block JH, Beale JM. Wilson and Gisvold's textbook of organic medicinal and"
PHARMACEUTICAL CHEMISTRY (ORGANIC),"4. Eliel EL, Wilen SH. Stereochemistry of Carbon Compounds. 1st Ed. Tata McGraw Hill;"
PHARMACEUTICAL CHEMISTRY (ORGANIC),5. Finar IL. Organic Chemistry. 6th Ed. Person Education Asia; 2001.
PHARMACEUTICAL CHEMISTRY (ORGANIC),"6. Roberts JD, Caserio MC. Basic Principles of organic Chemistry. 3rd Ed. Addison Wesley;"
PHARMACEUTICAL CHEMISTRY (ORGANIC),7. Sykes P. Guide Book to Mechanism in Organic Chemistry. 6th Ed. Longman Co;
PHARMACEUTICAL CHEMISTRY (ORGANIC),8. Wade LG. Organic Chemistry. 7th Ed. Prentice Hall; 2010.
PHARMACEUTICAL CHEMISTRY (BIOCHEMISTRY),"1. Berg JM, Tymoczko JL, Stryer L. Biochemistry. 7th Ed. WH Freeman and Company; 2010."
PHARMACEUTICAL CHEMISTRY (BIOCHEMISTRY),"2. Bishop ML, Fody EP, Schoeff LE. Clinical Chemistry: Techniques, Principles and"
PHARMACEUTICAL CHEMISTRY (BIOCHEMISTRY),"3. Champe PC, Harvey RA. Illustrated Biochemistry. 4th Ed. Lippincot Company; 2007."
PHARMACEUTICAL CHEMISTRY (BIOCHEMISTRY),4. Chaterjee MN. Medical Biochemistry. 7th Ed. Jaypee Brothers Medical Publishers; 2007.
PHARMACEUTICAL CHEMISTRY (BIOCHEMISTRY),"5. Conn EE, Stumpf PK. Outlines of Biochemistry. 5th Ed. John Willey & Sons; 1999."
PHARMACEUTICAL CHEMISTRY (BIOCHEMISTRY),6. Lehninger AL. Principles of Biochemistry. 4th Ed. CBS Publisher; 2004.
PHARMACEUTICAL CHEMISTRY (BIOCHEMISTRY),"7. Murray R, Rodwell V, Bender D, Kathleen M, Botham P, Weil A et al. Harper's Illustrated"
PHARMACEUTICAL CHEMISTRY (BIOCHEMISTRY),"8. West ES, Todd RW, Van BTJ. Text Book of Biochemistry. The MacMillan Co; 1996."
PHYSIOLOGY,1. Chatterjee CC. Human Physiology. 9th Ed. Medical Allied Agency; 1994.
PHYSIOLOGY,"2. Cyril A, Neil E, Joels N. Samson Wright’s Applied Physiology. 13th Ed. Oxford University"
PHYSIOLOGY,3. Guyton AC. Text Books of Medical Physiology. 9th Ed. W B Saunders Company; 2011.
PHYSIOLOGY,"4. Kuntzman AJ, Tortora GJ. Anatomy and physiology for the manual therapies. 1st Ed. John"
PHYSIOLOGY,5. Martini F. Fundamentals of anatomy and physiology. 8th Ed. Prentice Hall; 2010.
PHYSIOLOGY,"6. Saladin KS, Miller L. Anatomy & physiology: The Unity of Form and Function. 6th Ed."
PHYSIOLOGY,7. Snell RS. Clinical Anatomy for Medical Students. 1st Ed. Litle Brown & CoInc; 1992.
PHYSIOLOGY,"8. Spence AP, Elliot B, Mason EB. Human Anatomy and Physiology. 3rd Ed. West Publishing"
PHYSIOLOGY,9. Stuart Ira. Human Physiology. 11th Ed. Fox; 2008.
PHYSIOLOGY,"10. Tortora GJ, Derrickson B. Principles of anatomy and physiology. 13th Ed. Wiley; 2010."
PHYSIOLOGY,"11. Widmaier E, Raff H, Strang K. Vander's Human Physiology. 12th Ed. McGraw Hill; 2010."
PHYSIOLOGY,"12. William F, Ganong WF. Review of Medical physiology. 22nd Ed. Prentice Hall"
ANATOMY & HISTOLOGY,"1. Drake RL, Vogl WA, Mitchell AWM. Gray’s Anatomy: Descriptive and Applied."
ANATOMY & HISTOLOGY,2. Grant B. A Method of Anatomy. 9th Ed. Bailliere Tinal and Co Ltd; 1975.
ANATOMY & HISTOLOGY,3. Hamilton WJ. A Textbook of Anatomy. 2nd Ed. Macmillan and Co; 1976.
ANATOMY & HISTOLOGY,"4. Kuntzman AJ, Tortora GJ. Anatomy and physiology for the manual therapies. 1st Ed. John"
ANATOMY & HISTOLOGY,5. Last RJ. Anatomy: Regional and Applied. 11th Ed. J and A Churchill Ltd; 2001.
ANATOMY & HISTOLOGY,"6. Martini F, Ober WC, Garrison CW, Welch K, Hutchings RT. Fundamentals of Anatomy and"
Physiology. 5th Ed. Prentice Hall; 2001.,"7. Moore KL, Dalley AF, Agur AMR. Clinically Oriented Anatomy. 6th Ed. Lipponcott Williams"
Physiology. 5th Ed. Prentice Hall; 2001.,8. Romanes GJ. Cunningham’s Manual of Practical Anatomy. 15th Ed. Oxford University
Physiology. 5th Ed. Prentice Hall; 2001.,"9. Saladin KS, Miller L. Anatomy & physiology: The Unity of Form and Function. 6th Ed."
Physiology. 5th Ed. Prentice Hall; 2001.,10. Snell RS. Clinical Anatomy. 7th Ed. Boston Little Brown and Company; 2003.
Physiology. 5th Ed. Prentice Hall; 2001.,11. Standring S. Gray's anatomy: The Anatomical Basis of Clinical Practice. 40th Ed. Churchill
Physiology. 5th Ed. Prentice Hall; 2001.,"12. Tissues of the body by Legros Clerks. Publisher Oxford at the Clarendon Press, London."
Physiology. 5th Ed. Prentice Hall; 2001.,"13. Tortora GJ, Derrickson B. Principles of anatomy and physiology. 13th Ed. Wiley; 2010."
Physiology. 5th Ed. Prentice Hall; 2001.,1. Cormack HD. Essentials of Histology. 2nd Ed. JB Lippincott Co; 1993.
Physiology. 5th Ed. Prentice Hall; 2001.,2. Hammersen F. Histology: Color atlas of microscopic anatomy. 3rd Ed. Lee & Febijer Co; 1985.
Physiology. 5th Ed. Prentice Hall; 2001.,"3. Hewer EE, Bradbury S. Textbook of Histology for Medical Students. 9th Ed. William"
ISLAMIC STUDIES,1. Bhatia HS. Studies in Islamic Law: Religion and Society. Deep & Deep Publications New
ISLAMIC STUDIES,"2. Hasan A. Principles of Islamic Jurisprudence. Islamic Research Institute, International Islamic"
ISLAMIC STUDIES,"3. Hassan HH. An Introduction to the Study of Islamic Law. Leaf Publication Islamabad,"
ISLAMIC STUDIES,"4. Muhammad HU. Emergence of Islam. IRI, Islamabad."
ISLAMIC STUDIES,5. Muhammad HU. Introduction to Islam. Maulana Muhammad Yousaf Islahi.
ISLAMIC STUDIES,6. Muhammad HU. Muslim Conduct of State.
ISLAMIC STUDIES,7. Waliullah M. Muslim Jrisprudence and the Quranic Law of Crimes. Islamic Book Service;
ISLAMIC STUDIES,"8. Zia-ul-Haq M. Introduction to Al-Sharia Al-Islamia. Allama Iqbal Open University,"
PHARMACEUTICS (DOSAGE FORMS SCIENCE),"1. Allen LV, Popovich NG, Ansel HC. Ansel's Pharmaceutical Dosage Forms and Drug"
PHARMACEUTICS (DOSAGE FORMS SCIENCE),"2. Armstrong NA, James KC. Understanding Experimental Design and Interpretation in"
PHARMACEUTICS (DOSAGE FORMS SCIENCE),3. Aulton ME. Aulton's Pharmaceutics: The Design and Manufacture of Medicines. 3rd Ed.
PHARMACEUTICS (DOSAGE FORMS SCIENCE),4. Bentley AO. Text book of Pharmaceutics. 8th Ed. Macmillan Publishing Co Inc; 1977.
PHARMACEUTICS (DOSAGE FORMS SCIENCE),5. Carstensen JT. Pharmaceutics of Solids and Solid Dosage Forms. 1st Ed. John Wiley & Sons
PHARMACEUTICS (DOSAGE FORMS SCIENCE),6. Davis H. Bentley’s Text book of Pharmaceuticals. 2nd Ed. Tindall and Cox Publishers; 1961.
